Steps: [1.       0.5      0.25     0.125    0.0625   0.03125  0.015625]
Trapezium Rule for function 1: 
|   Step   |         Result          |
|:--------:|:-----------------------:|
| 1.0      |    3.38455161962314     |
| 0.5      |   2.9475024468918036    |
| 0.25     |   2.8168517359838328    |
| 0.125    |   2.7818759705700975    |
| 0.0625   |   2.7729464959667958    |
| 0.03125  |   2.7707016270198177    |
| 0.015625 |   2.7701396128310423    |
Simpson's Rule for function 1: 
|   Step   |         Result          |
|:--------:|:-----------------------:|
| 1.0      |    2.923034413082093    |
| 0.5      |   2.8018193893146917    |
| 0.25     |    2.773301499014509    |
| 0.125    |   2.7702173820988527    |
| 0.0625   |   2.7699700044323614    |
| 0.03125  |   2.7699533373708256    |
| 0.015625 |   2.7699522747681167    |
Trapezium Rule for function 2: 
|   Step   |         Result          |
|:--------:|:-----------------------:|
| 1.0      |   1.4061095202212068    |
| 0.5      |   0.5366231416305023    |
| 0.25     |   0.3839695328813325    |
| 0.125    |   -0.1283797153510401   |
| 0.0625   |   -0.2018475503366429   |
| 0.03125  |  -0.19592401812912183   |
| 0.015625 |  -0.07094234324278537   |
Simpson's Rule for function 2: 
|   Step   |         Result          |
|:--------:|:-----------------------:|
| 1.0      |   1.4999756526357992    |
| 0.5      |   0.24679434876693424   |
| 0.25     |   0.3330849966316091    |
| 0.125    |   -0.2991627980951642   |
| 0.0625   |  -0.22633682866517718   |
| 0.03125  |  -0.19394950739328143   |
| 0.015625 |  -0.029281784947339896  |
